id,name,party,partyLabel,votes,election,electionLabel,ranking
Q575513,John Penrose,Q9626,Conservative Party (UK),31983,Q30173038,General election 2019,1
,Tim Taylor,Q9630,Labour Party (UK),14862,Q30173038,General election 2019,2
,Patrick Keating,Q9624,Liberal Democrats (UK),6935,Q30173038,General election 2019,3
,Suneil Basu,Q9669,Green Party of England and Wales,1834,Q30173038,General election 2019,4
Q575513,John Penrose,Q9626,Conservative Party (UK),29982,Q25052149,General election 2017,1
,Tim Taylor,Q9630,Labour Party (UK),18438,Q25052149,General election 2017,2
,Mike Bell,Q9624,Liberal Democrats (UK),5175,Q25052149,General election 2017,3
,Helen Hims,Q10647,UK Independence Party,1932,Q25052149,General election 2017,4
,Suneil Basu,Q9669,Green Party of England and Wales,888,Q25052149,General election 2017,5
Q575513,John Penrose,Q9626,Conservative Party (UK),25203,Q3586935,General election 2015,1
,Tim Taylor,Q9630,Labour Party (UK),9594,Q3586935,General election 2015,2
,Ernie Warrender,Q10647,UK Independence Party,9366,Q3586935,General election 2015,3
,John Munro,Q9624,Liberal Democrats (UK),5486,Q3586935,General election 2015,4
Q7327285,Richard Lawson,Q9669,Green Party of England and Wales,2592,Q3586935,General election 2015,5
,Ronald Lavelle,Q2479228,English Democrats,311,Q3586935,General election 2015,6
Q575513,John Penrose,Q9626,Conservative Party (UK),23356,Q215622,General election 2010,1
,Mike Bell,Q9624,Liberal Democrats (UK),20665,Q215622,General election 2010,2
,David Bradley,Q9630,Labour Party (UK),5772,Q215622,General election 2010,3
,Paul Spencer,Q10647,UK Independence Party,1406,Q215622,General election 2010,4
,Peryn Parsons,Q161269,British National Party,1098,Q215622,General election 2010,5
,John Peverelle,Q2479228,English Democrats,275,Q215622,General election 2010,6
,Steve Satch,Q327591,Independent (politician),144,Q215622,General election 2010,7
Q575513,John Penrose,Q9626,Conservative Party (UK),19804,Q428598,General election 2005,1
Q334520,Brian Cotter,Q9624,Liberal Democrats (UK),17725,Q428598,General election 2005,2
,Damien Egan,Q9630,Labour Party (UK),9169,Q428598,General election 2005,3
,Paul Spencer,Q10647,UK Independence Party,1207,Q428598,General election 2005,4
,Clive Courtney,Q161269,British National Party,778,Q428598,General election 2005,5
,William Human,Q327591,Independent (politician),225,Q428598,General election 2005,6
,Paul Hemingway-Arnold,,Demanding Honesty in Politics and Whitehall,187,Q428598,General election 2005,7
Q334520,Brian Cotter,Q9624,Liberal Democrats (UK),18424,Q590740,General election 2001,1
Q575513,John Penrose,Q9626,Conservative Party (UK),18086,Q590740,General election 2001,2
,Derek Kraft,Q9630,Labour Party (UK),9235,Q590740,General election 2001,3
,Bill Lukins,Q10647,UK Independence Party,650,Q590740,General election 2001,4
,John Peverelle,Q327591,Independent (politician),206,Q590740,General election 2001,5
